video_id,title,channel_title,publish_time,category_id,country,duration,views,likes,comments
mrV8kK5t0V8,Bruno Mars - I Just Might [Official Music Video],Bruno Mars,2026-01-09T05:01:04Z,10,VN,PT3M33S,39464069,1132033,51337
R6e4tBWxIxE,ENHYPEN (엔하이픈) 'Knife' Official MV,HYBE LABELS,2026-01-16T05:00:00Z,10,VN,PT2M44S,15487765,660385,82959
2FE7pOBbRn8,We Built America in Minecraft,MrBeast Gaming,2026-01-17T17:00:05Z,20,VN,PT21M25S,11636425,439108,52767
z7j-pe2xblc,"🔴Trực Tiếp || U23 Việt Nam vs U23 UAE | 22h30  ngày 16/01 ,U23 châu Á ||Simulation Video Games",bongdavolga,2026-01-16T18:27:04Z,20,VN,PT2H45M47S,6398558,9448,46
hjYOanJelUs,Trúc Nhân | VẠN SỰ NHƯ Ý | Official MV,Trúc Nhân,2026-01-08T14:18:41Z,10,VN,PT4M26S,5934576,97590,3472
HJgdT15UT4k,LNGSHOT - [Moonwalkin'] Official Music Video,MORE VISION,2026-01-13T08:59:57Z,24,VN,PT3M35S,5684460,313029,15781
BWfKkqo1Mk8,EXO 엑소 'Crown' MV,SMTOWN,2026-01-19T09:00:14Z,10,VN,PT3M32S,5130332,293171,43129
Bb5Qb7ziIig,obito - 'dạo này' (official music video),Obito Official,2025-12-24T16:55:27Z,10,VN,PT4M49S,4801141,71730,3520
XRgOPWisuog,EXTREME SHARK GAME!!!,Sylex,2026-01-17T14:34:27Z,24,VN,PT12S,3187927,31830,0
z_9YQ-5eh_c,JeraiCathy Live Stream,JeraiCathy,2026-01-17T15:18:33Z,20,VN,PT1M11S,2771188,6571,90
3rzV2GbvP7w,🔴 TRỰC TIẾP Việt Nam vs uae - VIDEO GAME SIMULATION,Mr Ceking Gaming,2026-01-16T18:42:26Z,20,VN,PT11M26S,2283553,2009,11
Zjih9rzYxfM,"🔴[Trực Tiếp] U23 Việt Nam vs U23 UAE  | 22:30 NGÀY 16/01, U23 châu Á  |Simulation Video Games",bongdavolga86,2026-01-16T18:25:38Z,20,VN,PT2H44M24S,2281994,1734,5
NpI4TSgBVTw,HIEUTHUHAI - Mong Năm Mới Trải Hoa (prod. by Kewtiie) I Official Music Video,HIEUTHUHAI,2026-01-12T13:00:08Z,10,VN,PT3M6S,1668227,46614,9921
HEblLwDSBSE,"Tết Ta Về - Nhạc Tết 2026 | Đông Nhi, Jun Phạm, Bùi Công Nam, Khoai Lang Thang, CONGB | Official MV",ĐÔNG NHI,2026-01-15T13:00:08Z,10,VN,PT7M20S,1637835,57674,8081
Dh0GtUR0zKY,Quang Hùng MasterD - 'Bước Tới Tết Mới' - Official Music Video,Quang Hùng MasterD,2026-01-01T13:00:07Z,10,VN,PT4M14S,1584364,59509,12396
yDdO-yu74zg,Bình Luận Tiếng Việt: NS vs HLE l DRX vs T1 | LCK CUP 2026,LCK Tiếng Việt,2026-01-18T13:34:35Z,20,VN,PT5H33M45S,1470102,9808,54
IZU9VRQgv8c,Tôi dẫn Mr Beast đi tham quan Việt Nam,Neji Coconut,2026-01-17T17:28:02Z,20,VN,PT11M34S,1453997,68761,4507
