video_id,title,channel_title,publish_time,country,category_id,category_name,language,duration,views,likes,comments
lOHVMmZ6n3o,"BORDER 2: Ghar Kab Aaoge | Sunny Deol | Anu,Mithoon, Sonu, Roop, Arijit, Vishal, Diljit, Javed,Manoj",T-Series,2026-01-02T14:00:06Z,CA,10,Music,hi,PT3M11S,53498988,1253011,54746
SbdOIdg2McI,BABYMONSTER - ‘SUPA DUPA LUV’ M/V,BABYMONSTER,2025-12-18T15:00:06Z,NZ,10,Music,ko,PT3M2S,46048089,618165,43615
mrV8kK5t0V8,Bruno Mars - I Just Might [Official Music Video],Bruno Mars,2026-01-09T05:01:04Z,US,10,Music,en,PT3M33S,39449170,1131851,51330
ip8o5hDFLhI,Jana Nayagan – Oru Pere Varalaaru Lyrical | Thalapathy Vijay | H Vinoth |Anirudh |KVN |Vishal Mishra,T-Series,2025-12-18T13:00:03Z,IE,10,Music,hi,PT3M54S,31083066,813870,41720
lcw4TDMBjZA,AADAT (Official Video): YO YO HONEY SINGH | AP DHILLON | VAANI KAPOOR | 51 GLORIOUS DAYS | BHUSHAN K,T-Series,2025-12-22T05:30:08Z,NZ,10,Music,hi,PT3M43S,29895944,662166,56627
kCIf6yaJisQ,"Shakira - Zoo (From ""Zootopia 2"")",DisneyMusicVEVO,2025-12-19T17:00:07Z,NZ,10,Music,en,PT2M7S,29106058,131283,0
P_c0Aojg0KY,"Nache Nache - Video Song | The RajaSaab | Prabhas, Malavika Mohan, Nidhhi Agerwal, Riddhi | Thaman S",Saregama Music,2026-01-05T15:49:11Z,IN,10,Music,hi,PT3M33S,22060505,319464,7240
fDvVCS17P5A,Jana Nayagan – Chella Magale Lyrical | Thalapathy Vijay | Pooja Hegde | H Vinoth | Anirudh | KVN,T-Series,2025-12-26T11:34:02Z,IE,10,Music,hi,PT3M52S,19769034,439141,16920
VWCBZpvjZfc,"Lutt Le Gaya | Dhurandhar | Ranveer Singh, Akshaye Khanna, Shashwat Sachdev, Simran Choudhary",Saregama Music,2026-01-03T09:30:30Z,AU,10,Music,hi,PT2M5S,16502595,119005,3102
nQrrVyVIYvw,"Vaammo Vaayyo | Bhartha Mahasayulaku Wignyapthi | Ravi Teja, Ashika R, Dimple H | Bheems Ceciroleo",Saregama Telugu,2026-01-02T10:39:46Z,IN,10,Music,te,PT3M2S,12808424,74004,1683
cWWRlR83nN4,"O'Romeo: Hum To Tere Hi Liye The | Shahid Kapoor, Triptii Dimri | Vishal Bhardwaj | Gulzar | Arijit",T-Series,2026-01-16T08:30:03Z,AU,10,Music,hi,PT2M31S,12646263,310653,9332
-CAUZC705y4,Hook Step Lyrical | ManaShankaravaraprasad Garu | Chiranjeevi | Anil Ravipudi | Bheems |Baba Sehgal,T-Series Telugu,2026-01-07T15:15:00Z,IN,10,Music,te,PT2M26S,12433499,241476,5353
SOJpE1KMUbo,Dave - Raindance (ft. Tems),Santan Dave,2026-01-09T18:27:49Z,US,10,Music,en,PT3M41S,12234070,328095,9022
E7ergOnpO1Q,Dhanda Nyoliwala - Not Guilty (Official Music Video),Dhanda Nyoliwala,2026-01-08T05:30:07Z,CA,10,Music,en,PT3M5S,10005320,359101,19187
5q9EjSUovc4,“Internet Girl” Visualizer | KATSEYE,KATSEYE,2026-01-02T05:00:07Z,NZ,10,Music,en,PT2M46S,9439429,391337,46929
9OF_cF48mjA,Jana Nayagan - Raavana Mavandaa Lyrical | Thalapathy Vijay | Pooja Hegde | H Vinoth | Anirudh | KVN,T-Series,2026-01-02T14:20:40Z,IE,10,Music,hi,PT1M53S,8791841,477712,15510
lCp0BmcFPQ8,A$AP Rocky - PUNK ROCKY (Official Video),LIVELOVEASAPVEVO,2026-01-05T20:00:06Z,AU,10,Music,en,PT4M57S,8244497,298733,12898
R2KeQqLzr00,"Kato feat. Jon - Turn The Lights (UNKNX, Zylarion, Adrian Vale) TRANCE COVER | Elite Trance Music",ELITE TRANCE MUSIC,2025-12-22T15:36:46Z,IE,10,Music,en,PT4M17S,7520232,94301,887
Faz9JxpdHp4,P Pop Culture (MUSIC VIDEO) KARAN AUJLA | Ikky | Latest Punjabi Songs 2025,Karan Aujla,2025-12-15T12:30:06Z,NZ,10,Music,pa,PT3M32S,7404807,247324,12924
D76XBkNoeac,"Chiri Thottu | Sarvam Maya | Nivin Pauly, Preity Mukhundhan | Justin, Chinmayi | Akhil Sathyan",FireFly Films & Arts,2025-12-18T12:41:13Z,IE,22,Music,ml,PT4M32S,6469081,66299,2852
v84ZYg0mDyg,"Ramba Ho | Dhurandhar | Ranveer Singh, Shashwat Sachdev, Madhubanti Bagchi",Saregama Music,2026-01-06T06:30:38Z,IN,10,Music,hi,PT2M8S,6295886,37094,878
JdN1huLEYpY,"BORDER 2: Ishq Da Chehra | Sunny Deol, Varun D, Diljit Dosanjh, Ahan S | Sachet - Parampara, Kausar",T-Series,2026-01-09T05:42:22Z,NZ,10,Music,hi,PT3M9S,6277870,250786,10482
92BTpXGA8Cw,#Video | देवरा मज़ा जैसन मीठ | #Chintu Raja | Devara Maza Jaisan Meth | Ft. #Muskan Kt | Magahi Song,Anupam Films Maghi ,2026-01-08T01:15:00Z,IN,10,Music,hi,PT4M,6131167,149781,4904
g1-46Nu3HxQ,A$AP Rocky - HELICOPTER (Official Video),LIVELOVEASAPVEVO,2026-01-12T17:00:06Z,US,10,Music,en,PT3M8S,6045142,242596,12101
hjYOanJelUs,Trúc Nhân | VẠN SỰ NHƯ Ý | Official MV,Trúc Nhân,2026-01-08T14:18:41Z,VN,10,Music,vi,PT4M26S,5932589,97583,3472
QIUu0qeHY1w,SMOKIO - KUDDAH (Reply Diss) O.M.V,Smokio,2026-01-03T09:03:08Z,SG,10,Music,si,PT3M26S,5687565,188177,29670
HJgdT15UT4k,LNGSHOT - [Moonwalkin'] Official Music Video,MORE VISION,2026-01-13T08:59:57Z,VN,24,Music,ko,PT3M35S,5673048,312814,15774
NtpR7-z4ZNA,Bloodline (Official MV) Harf Cheema - Gulab Sidhu - Sukh Lotey,Harf Cheema,2026-01-10T12:02:29Z,CA,10,Music,en,PT2M32S,5264627,57698,1618
scRQR-FRfIo,"Puthu Mazha | Sarvam Maya | Nivin Pauly, Riya Shibu | Justin, Shakthisree Gopalan | Akhil Sathyan",FireFly Films & Arts,2025-12-30T11:30:54Z,IE,22,Music,ml,PT4M17S,5022281,35404,1670
BVgNoVwsb6Y,"Vellarathaaram | Sarvam Maya | Nivin Pauly, Aju Varghese | Justin, Vineeth Sreenivasan | Akhil",FireFly Films & Arts,2025-12-23T05:30:04Z,NZ,22,Music,ml,PT3M18S,4943818,43097,1937
BWfKkqo1Mk8,EXO 엑소 'Crown' MV,SMTOWN,2026-01-19T09:00:14Z,AU,10,Music,ko,PT3M32S,4906042,291345,42657
Bb5Qb7ziIig,obito - 'dạo này' (official music video),Obito Official,2025-12-24T16:55:27Z,VN,10,Music,vi,PT4M49S,4799606,71730,3520
5mo9GdDnrNI,Senorita I Diljit Dosanjh Ft J Balvin I Raj Ranjodh I MixSingh,Diljit Dosanjh,2026-01-06T12:30:07Z,NZ,10,Music,en-US,PT2M57S,4529799,55655,2042
a7DtlXpUj4I,Golden (Glowin' Version),HUNTR/X - Topic,2026-01-09T05:03:09Z,AU,10,Music,en,PT3M11S,4380994,45956,0
cthtCRmTcgA,VSTRA - Ai Ngoài Anh (Official Audio),VSTRA,2025-12-20T13:13:00Z,VN,10,Music,vi,PT3M19S,4223732,27144,394
tGKwX5yq9ho,Quang Hùng MasterD - 'Chất Gây Hại' (ft. Low G) - Official Audio / BLOOMEVER Album 'Bonus Track',Quang Hùng MasterD,2025-12-15T13:00:52Z,VN,10,Music,vi,PT4M20S,4189111,55788,7733
u9rdzKwhxhI,French Montana x Max B - Ever Since U Left Me (Official Video),French Montana,2026-01-09T20:00:07Z,US,10,Music,en,PT3M3S,3920104,45375,3841
N-EBMmquekI,PECHA (Official Video) Korala Maan Ft. Gurlez Akhtar | Desi Crew | Latest Punjabi Songs 2026,Korala Maan Music,2026-01-13T04:31:13Z,GB,10,Music,en-US,PT2M58S,3650200,51121,4165
wKIt5vBSW-4,Hẹn Lần Sau - MAYDAYs | Official Music Video,MAYDAYs,2025-12-18T13:00:06Z,VN,10,Music,vi,PT4M38S,3623313,42467,1502
EApB0e646Nk,"DOKO BUNNE (Official Song) | KUMARI Movie | Keher Limbu | Abishek Khadka, Aakriti Rajbhandari",Kendra Motion Pictures,2025-12-31T10:45:06Z,AU,10,Music,en,PT4M4S,3584762,67147,1587
iCvBmjsrT5g,#Video | ऐ पिया | #Khesari Lal Yadav & Karishma Kakkar | Ae Piya | Angel Liza | Bhojpuri Song 2026,GMJ - Global Music Junction - Bhojpuri,2026-01-13T01:30:49Z,IN,10,Music,bh,PT3M28S,3577095,176778,27271
hI302pJcB5Y,BHA BHA BA - Azhinjattam Lyric Video | Mohanlal | Dilieep | Shaan Rahman | MG Sreekumar | Vineeth,Sree Gokulam Movies,2025-12-15T14:15:31Z,IE,1,Music,ml,PT4M5S,3282127,78068,15856
GWyyCtNgmgU,We-Skhinkily,MENZI MUSIC - Topic,2025-12-15T12:22:57Z,ZA,10,Music,en,PT3M32S,3248017,44073,1326
p7pec1ePLLI,All Eyes on Me,Dj Belite - Topic,2026-01-05T16:58:22Z,AU,10,Music,en,PT2M46S,3139830,38053,56
0vFBOYmRMEk,Sheesha : Nimrat Khaira (Official Video) Kulmeet | Bunty Bains | Forever I New Punjabi Songs 2025-26,Panj-aab Records,2026-01-07T12:30:05Z,CA,10,Music,pa,PT3M11S,3106403,19486,382
axc2iYliARI,Tere Dil Ki Awaaz Hoon Main (Official Video ) (Mujhe Door Na Tu Jaane De) A Soulful Love Qawwal Song,Frame Phaad Productions,2026-01-10T11:03:28Z,IN,10,Music,pa,PT7M3S,3029060,19860,480
s7l7ech1ArQ,6IX9INE- BACON FT. ADIN ROSS & CUFFEM (OFFICAL MUSIC VIDEO),Tekashi 6ix9ine,2026-01-03T02:48:21Z,NZ,10,Music,en,PT2M1S,2878321,104179,11101
V_YhGVnEGf8,MỸ TÂM - CHUYỆN ĐỂ DÀNH (FULL OFFICIAL LIVE VIDEO) | LIVESHOW SEE THE LIGHT,My Tam,2025-12-19T04:00:07Z,VN,10,Music,vi,PT4M58S,2767623,15247,1691
a45_83NQWAA,Sia - Cheap Thrills (Lyrics) ft. Sean Paul,Arcade Music,2026-01-05T14:30:01Z,AU,10,Music,en-US,PT3M45S,2609211,12113,39
BIbgncfLpl0,WREN EVANS - THU ĐỢI | OFFICIAL LYRICS VIDEO (ft. itsnk),Wren Evans Official,2025-12-26T16:00:29Z,VN,10,Music,vi,PT5M12S,2573757,29481,2009
QRria3dbGKk,Amanxeba (Official Video) - Sami Kay x Rox Roberson x Misokuhle ,Sami Kay ,2025-12-19T07:56:28Z,ZA,22,Music,en,PT6M6S,2558892,15412,420
TiMSdpNp-Vo,Hẹn Hò Nhưng Không Yêu Remix (Bản Dance TikTok) - Em Cố Trăm Lần Chẳng Bằng Ai Đó Một Phần Remix,Ness Remix,2025-12-23T02:00:29Z,VN,10,Music,vi,PT3M17S,2385121,10386,315
TnqSV_Ucurk,Kaise Ho (Official Video) Bintu Pabra | Pranjal Dahiya | Shiva Choudhary | New Haryanvi Song 2026,Nav Haryanvi,2026-01-12T10:30:09Z,IN,10,Music,zxx,PT3M49S,2325452,115541,2107
-Fz7ZYvCQzk,Driemo – Joker (Official Music Video),Driemo,2026-01-05T06:00:07Z,ZA,10,Music,hi,PT3M,2261733,27599,2361
pvAsrsjtqi4,"BORDER 2: Jaate Hue Lamhon (Audio) | Anu Malik,Javed Akhtar,Mithoon,Roop Kumar Rathod,Vishal Mishra",T-Series,2026-01-14T10:03:22Z,IN,10,Music,hi,PT5M44S,2244584,37227,3366
Vr7G5RplnJk,Turn The Lights Off (Dj Dark Remix),elude - Topic,2026-01-08T16:43:01Z,AU,10,Music,en,PT2M57S,2213372,29582,0
luzMcTOgHoo,YoungBoy Never Broke Again - Switches [Official Video],YoungBoy Never Broke Again,2026-01-15T17:38:14Z,US,10,Music,en,PT3M12S,2113000,125699,10344
6sl054Lsxg4,bbno$ - diamonds are forever,bbno$,2026-01-09T05:00:06Z,NZ,10,Music,en,PT2M38S,2111264,154660,9247
ZB_-EqDWhxQ,Maavan Dheeyan (Full Video) Amrit Maan | Desi Crew | Latest Punjabi Songs 2026 | New Punjabi Song,Amrit Maan,2026-01-10T07:00:10Z,CA,10,Music,pa,PT3M24S,2083147,46846,1748
OhlC5hWXk6Y,TERE DIL MEIN - Rito Riba | Elvish Yadav & Jannat Zubair | Rajat Nagpal | Rana Sotal | Anshul Garg,Play DMF,2026-01-19T05:31:06Z,IN,10,Music,en,PT3M43S,2033676,158759,17495
UYwN0gvA-7E,"【That's马Way】 2026新年歌 - Jestinna Kuan, Mskuan & Perry Kuan (OFFICIAL MV)",Jestinna Kuan,2025-12-26T10:54:23Z,SG,10,Music,en-US,PT3M29S,1977656,14823,496
o_rtfAazE5s,BHAGAN WALIYE (Official Video) | Ranjit Bawa | Pari Pandher | Black Virus | Guri Sangali |Sudh singh,Ranjit Bawa Music,2026-01-09T05:38:42Z,CA,10,Music,pa,PT4M42S,1862594,39902,1801
fZbeFQ7KIno,#video | Chanp Ke Reel Banaib Ho |  चांप के रील बनाईब हो | Jaiveer Raj Dipu & Shrishti Bharti 2026,Trimurti Music World,2026-01-12T01:00:07Z,IN,10,Music,zxx,PT3M19S,1806932,42259,2637
mb9E3lDJZTQ,YoungBoy Never Broke Again - Baby Boo [Official Video],YoungBoy Never Broke Again,2026-01-15T00:21:30Z,US,10,Music,en,PT2M20S,1794575,102031,8504
HuAfl76f7y4,Polo G - 95 Bulls (feat. King Von) (Official Video),Polo G,2026-01-09T20:00:07Z,US,10,Music,en,PT2M47S,1749888,89422,6201
JNXnuKMNWBI,The Script - Hall Of Fame (Lyrics) ft. will.i.am,7clouds Country,2026-01-08T19:16:09Z,GB,22,Music,en,PT3M23S,1710696,4016,78
NpI4TSgBVTw,HIEUTHUHAI - Mong Năm Mới Trải Hoa (prod. by Kewtiie) I Official Music Video,HIEUTHUHAI,2026-01-12T13:00:08Z,VN,10,Music,vi,PT3M6S,1667045,46612,9921
HEblLwDSBSE,"Tết Ta Về - Nhạc Tết 2026 | Đông Nhi, Jun Phạm, Bùi Công Nam, Khoai Lang Thang, CONGB | Official MV",ĐÔNG NHI,2026-01-15T13:00:08Z,VN,10,Music,vi,PT7M20S,1636525,57669,8080
7TManB-eG_g,"Saat Samundar Paar - Lyrical | Vishwatma | Sunny Deol, Divya Bharti, Sadhana Sargam, Anand Bakshi",Saregama Music,2026-01-11T10:30:03Z,IN,10,Music,hi,PT6M40S,1591589,7863,76
Dh0GtUR0zKY,Quang Hùng MasterD - 'Bước Tới Tết Mới' - Official Music Video,Quang Hùng MasterD,2026-01-01T13:00:07Z,VN,10,Music,vi,PT4M14S,1584169,59509,12396
Ci7Aeneih1c,SIENNA SPIRO - Die On This Hill (Lyrics),7clouds,2026-01-13T14:28:56Z,GB,10,Music,en,PT3M38S,1518432,8515,276
B9J1cAdONLU,Sleepless in a Hotel Room,Luke Combs - Topic,2026-01-07T17:03:11Z,US,10,Music,en,PT2M58S,1457811,30082,204
pD5-5bBuh0A,"DJ Smallz, ZinedinexSguche & 031Choppa - (Lyrics) ZEP ft. Uncool MC",Vibe Music,2025-12-23T17:12:25Z,ZA,10,Music,en,PT5M9S,1454142,6644,191
Q3Fn0B-fHgE,No Way Back (feat. So!YoON!),ENHYPEN - Topic,2026-01-16T05:00:22Z,SG,10,Music,ko,PT3M6S,1438695,100982,4998
